Index,Continent,Companycountry,Metal,Mine,Status
438,Africa,South Africa,Au,Grootvlei,Operating
439,Africa,South Africa,Coal,Halfgewonnen,Operating
440,Africa,South Africa,Au,Harmony,Closed
441,Africa,South Africa,Au,Harmony,Operating
442,Africa,South Africa,Au,Harmony/Free,Operating
443,Africa,South Africa,Au,Harmony/Free,Closed
444,Africa,South Africa,Ag,Harmony/Free,Closed
445,Africa,South Africa,U,Harmony/Free,Closed
446,Africa,South Africa,Au,Hartebeest,Suspended
447,Africa,South Africa,U,Hartebeest,Suspended
448,Europe,Switzerland,Cr,Helena,Operating
449,Asia,Japan,Cr,Hernic,Operating
450,Asia,Russia,V,Highveld,Operating
451,Africa,South Africa,Ti,Hillendale,Operating
452,Africa,South Africa,Zr,Hillendale,Operating
453,North America,Canada,Dia,Holpan/Klipdam,Operating
454,Africa,South Africa,Dia,Hondeklip,"Closed, reclamation"
455,Europe,Switzerland,Cr,Horizon,"Susp, restart/plans"
456,Oceania,Australia,Mn,Hotazel,Operating
457,Asia,India,Coal,Ilanga,Operating
458,Africa,South Africa,Co,Impala,"Operating, exp/constr"
459,Africa,South Africa,Cu,Impala,"Operating, exp/constr"
460,Africa,South Africa,Au,Impala,"Operating, exp/constr"
461,Africa,South Africa,Ni,Impala,"Operating, exp/constr"
462,Africa,South Africa,PGM,Impala,"Operating, exp/constr"
463,Europe,Switzerland,Coal,iMpunzi,"Operating, exp/constr"
464,Africa,South Africa,Coal,Inyanda,Operating
465,Europe,UK,Coal,Isibonelo,Operating
466,Africa,South Africa,Au,Joel,"Operating, exp/feasib"
467,Africa,South Africa,Au,Kalahari,Operating
468,Africa,South Africa,Au,KDC,"Operating, exp/plans"
469,Africa,South Africa,Ag,KDC,"Operating, exp/plans"
470,Africa,South Africa,U,KDC,"Operating, exp/plans"
471,North America,Canada,Coal,Kendal,Operating
472,Europe,Switzerland,V,Kennedy's,Closed
473,Europe,UK,Cu,Khomanani,Operating
474,Europe,UK,Au,Khomanani,Operating
475,Europe,UK,Ni,Khomanani,Operating
476,Europe,UK,PGM,Khomanani,Operating
477,Africa,South Africa,Fe,Khumani,"Operating, exp/feasib"
478,Europe,UK,Cu,Khuseleka,Operating
479,Europe,UK,Au,Khuseleka,Operating
480,Europe,UK,Ni,Khuseleka,Operating
481,Europe,UK,PGM,Khuseleka,Operating
482,Oceania,Australia,Coal,Khutala,Operating
483,Africa,South Africa,Dia,Kimberley,Operating
484,Europe,UK,Dia,Kimberley,Operating
485,Africa,South Africa,Au,Kinross,Suspended
486,Europe,UK,Coal,Kleinkopje,Operating
487,Europe,Netherlands,Coal,Klip,Suspended
488,North America,Canada,Dia,Klipgat,Suspended
489,Europe,UK,Dia,Klipspringer,Operating
490,Oceania,Australia,Coal,Klipspruit,Operating
491,Africa,South Africa,Au,Klipwal,Operating
492,Africa,South Africa,Au,Knights,Active
493,Africa,South Africa,Dia,Koffiefontein,Operating
494,Europe,UK,Fe,Kolomela,Operating
495,Europe,Switzerland,Coal,Koornfontein,Operating
496,Africa,South Africa,Au,Kopanang,Operating
497,Africa,South Africa,Coal,Kopermyne,Operating
498,Europe,UK,Coal,Kriel,Operating
499,Europe,Switzerland,Cr,Kroondal,Operating
500,Europe,UK,Cu,Kroondal,Operating
501,Europe,UK,Au,Kroondal,Operating
502,Europe,UK,Ni,Kroondal,Operating
503,Europe,UK,PGM,Kroondal,Operating
504,Africa,South Africa,Au,Kusasalethu,Closed
505,Africa,South Africa,Au,Kusasalethu,"Operating, exp/constr"
506,Africa,South Africa,Coal,Lakeside,Operating
507,Europe,UK,Coal,Landau,Operating
508,Africa,South Africa,Au,Leeudoorn,Closed
509,Europe,Netherlands,Coal,Leeuw,Operating
