Index,Companycountry,Metal,Mine,Status
504,UK,Cu,Khuseleka,Operating
505,UK,Au,Khuseleka,Operating
506,UK,Ni,Khuseleka,Operating
507,UK,PGM,Khuseleka,Operating
508,UK,PGM,Khuseleka,Operating
509,UK,PGM,Khuseleka,Operating
510,UK,PGM,Khuseleka,Operating
511,Australia,coal,Khutala,Operating
512,South Africa,Dia,Kimberley,Operating
513,UK,Dia,Kimberley,Operating
514,South Africa,Au,Kinross,Suspended
515,UK,coal,Kleinkopje,Operating
516,Netherlands,coal,Klip,Suspended
517,Canada,Dia,Klipgat,Suspended
518,UK,Dia,Klipspringer,Operating
519,Australia,coal,Klipspruit,Operating
520,South Africa,Au,Klipwal,Operating
521,South Africa,Au,Knights,Active
522,South Africa,Dia,Koffiefontein,Operating
523,UK,Fe,Kolomela,Operating
524,Switzerland,coal,Koornfontein,Operating
525,South Africa,Au,Kopanang,Operating
526,South Africa,coal,Kopermyne,Operating
527,UK,coal,Kriel,Operating
528,Switzerland,Cr,Kroondal,Operating
529,UK,Cu,Kroondal,Operating
530,UK,Au,Kroondal,Operating
531,UK,Ni,Kroondal,Operating
532,UK,PGM,Kroondal,Operating
533,UK,PGM,Kroondal,Operating
534,UK,PGM,Kroondal,Operating
535,UK,PGM,Kroondal,Operating
536,South Africa,Au,Kusasalethu,Closed
537,South Africa,Au,Kusasalethu,"Operating, exp/constr"
538,South Africa,coal,Lakeside,Operating
539,UK,coal,Landau,Operating
540,South Africa,Au,Leeudoorn,Closed
541,Netherlands,coal,Leeuw,Operating
542,South Africa,coal,Leeuwfontein,Operating
543,South Africa,coal,Leeuwpan,Operating
544,South Africa,Au,Leslie,Suspended
545,South Africa,Au,Libanon,Closed
546,South Africa,Ag,Libanon,Closed
547,Australia,Au,Lily,"Operating, exp/feasib"
548,Australia,Au,Lindum,Suspended
549,UK,Cu,Lonmin,Suspended
550,UK,Au,Lonmin,Suspended
551,UK,Ni,Lonmin,Suspended
552,UK,PGM,Lonmin,Suspended
553,UK,PGM,Lonmin,Suspended
554,UK,PGM,Lonmin,Suspended
555,UK,PGM,Lonmin,Suspended
556,UK,Cu,Lonmin,Operating
557,UK,Au,Lonmin,Operating
558,UK,Ni,Lonmin,Operating
559,UK,PGM,Lonmin,Operating
560,UK,PGM,Lonmin,Operating
561,UK,PGM,Lonmin,Operating
562,UK,PGM,Lonmin,Operating
563,South Africa,Dia,Lower,Operating
564,UK,coal,Mafube,Operating
565,Canada,coal,Magdalena,Operating
566,Canada,coal,Magdelena,Operating
567,Canada,coal,Magdelena,Operating
568,Australia,Au,Makonjwaan,Suspended
569,Russia,Fe,Mapochs,Operating
570,China,Cu,Maranda,Closed
571,China,Zn,Maranda,Closed
572,UK,Cr,Marico,Operating
573,South Africa,Au,Marievale,Closed
574,UK,Au,Marikana,"Susp, restart/plans"
575,UK,PGM,Marikana,"Susp, restart/plans"
576,UK,PGM,Marikana,"Susp, restart/plans"
577,UK,PGM,Marikana,"Susp, restart/plans"
578,UK,PGM,Marikana,"Susp, restart/plans"
579,South Africa,Ni,Marula,"Operating, exp/plans"
580,South Africa,PGM,Marula,"Operating, exp/plans"
581,South Africa,PGM,Marula,"Operating, exp/plans"
582,South Africa,PGM,Marula,"Operating, exp/plans"
583,South Africa,PGM,Marula,"Operating, exp/plans"
584,South Africa,Au,Masimong,Operating
585,South Africa,Au,Matjhabeng,Closed
586,South Africa,coal,Matla,Operating
587,Australia,Au,Megamine/Sub,Suspended
588,USA,Cr,Metallurg,Active
589,South Africa,coal,Middelbult,Operating
590,Australia,coal,Middelburg,Operating
591,South Africa,coal,Middelburg,Operating
592,South Africa,Au,Middelvlei,Operating
593,South Africa,coal,Mimosa,Operating
594,South Africa,Au,Moab,"Operating, exp/feasib"
595,Australia,Au,Modder,Operating
596,South Africa,Au,Modderfontein,Operating
597,UK,Cu,Modikwa,"Operating, exp/feasib"
598,UK,Au,Modikwa,"Operating, exp/feasib"
599,UK,Ni,Modikwa,"Operating, exp/feasib"
600,UK,PGM,Modikwa,"Operating, exp/feasib"
601,UK,PGM,Modikwa,"Operating, exp/feasib"
602,UK,PGM,Modikwa,"Operating, exp/feasib"
603,UK,PGM,Modikwa,"Operating, exp/feasib"
604,UK,Cu,Mogalakwena,Operating
605,UK,Au,Mogalakwena,Operating
606,UK,Ni,Mogalakwena,Operating
607,UK,PGM,Mogalakwena,Operating
608,UK,PGM,Mogalakwena,Operating
609,UK,PGM,Mogalakwena,Operating
610,UK,PGM,Mogalakwena,Operating
611,Australia,Au,Mogale,Operating
612,Australia,coal,Mooiplaats,Operating
613,UK,Cu,Mototolo,Operating
614,UK,Au,Mototolo,Operating
615,UK,Ni,Mototolo,Operating
616,UK,PGM,Mototolo,Operating
617,UK,PGM,Mototolo,Operating
618,UK,PGM,Mototolo,Operating
619,UK,PGM,Mototolo,Operating
620,South Africa,Au,Mponeng,"Operating, exp/plans"
621,South Africa,Au,Mpumalanga,Suspended
622,South Africa,Au,Mvelaphanda,Active
623,South Africa,Ti,Namakwa,Operating
624,South Africa,Zr,Namakwa,Operating
625,UK,Dia,Namaqualand,Suspended
626,South Africa,coal,New,Operating
627,UK,coal,New,Operating
628,UK,coal,New,"Operating, exp/feasib"
629,South Africa,Au,Nigel,Operating
630,South Africa,coal,Nkomati,Suspended
631,South Africa,Cr,Nkomati,"Operating, exp/plans"
632,South Africa,Co,Nkomati,"Operating, exp/plans"
633,South Africa,Cu,Nkomati,"Operating, exp/plans"
634,South Africa,Au,Nkomati,"Operating, exp/plans"
635,South Africa,Ni,Nkomati,"Operating, exp/plans"
636,South Africa,PGM,Nkomati,"Operating, exp/plans"
637,South Africa,PGM,Nkomati,"Operating, exp/plans"
638,South Africa,PGM,Nkomati,"Operating, exp/plans"
639,UK,coal,Nooitgedacht,Operating
640,South Africa,coal,North,Operating
641,South Africa,Au,North,Operating
642,South Africa,Cu,Northam,Operating
643,South Africa,Au,Northam,Operating
644,South Africa,Ni,Northam,Operating
645,South Africa,PGM,Northam,Operating
646,South Africa,PGM,Northam,Operating
647,South Africa,PGM,Northam,Operating
648,South Africa,PGM,Northam,Operating
649,China,Cu,O'Okiep,Closed
650,China,Au,O'Okiep,Closed
651,China,Ag,O'Okiep,Closed
652,South Africa,Au,Omaruru,Suspended
