Metalmineral,Fullname,Status,Controllingcompany1contro,Controllingcompany1country,Controllingcompany1type,Controllingcompany2contro,Controllingcompany2country,Controllingcompany2type,Controllingcompany3contro,Controllingcompany3country,Controllingcompany3type,Companycountry,Latitude,Longitude,country,shortname,metal,admin_03
Nickel  (kt),Ambatovy Nickel Mine,Operating,Sherritt (40%),Canada,Major company,NSSMC (28%),Japan ,Steel company,Kores (18%),Korea (South),Non-mining compa,Canada,,,Madagascar,Ambatovy,Ni,MDG
Chromite  (kt),Kraomita Malagasy Chrome Mine,Operating,State of Madagascar (100%),Madagascar  ,Government organ,,,,,,,Madagascar,,,Madagascar,Kraomita,Cr,MDG
Uranium oxide  (kt),Kayelekera Uranium Mine,Operating,Paladin (100%),Australia,Company ,,,,,,,Australia,,,Malawi,Kayelekera,U,MWI
Gold  (t),Gounkoto Gold Mine,Operating,Randgold Res (80%),South Africa,Company ,State of Mali (20%),Mali  ,Government organ,,,,South Africa,12.8667,-11.3833,Mali,Gounkoto,Au,MLI
Gold  (t),Kalana Gold Mine,Operating: exp/constr,Avnel Gold (100%),UK,Company ,,,,,,,UK,10.8167,-7.9833,Mali,Kalana,Au,MLI
Gold  (t),Loulo Gold Mine,Operating,Randgold Res (80%),South Africa,Company ,State of Mali (20%),Mali  ,Government organ,,,,South Africa,13.05,-11.4,Mali,Loulo,Au,MLI
Gold  (t),Morila Gold Mine,Operating,Anglogold (40%),South Africa,Major company,Randgold Res (40%),South Africa,Company ,State of Mali (20%),Mali  ,Government organ,South Africa,12.2,-6.6333,Mali,Morila,Au,MLI
Gold  (t),Sadiola Gold Mine,Operating: exp/feasib,Anglogold (41%),South Africa,Major company,Iamgold (41%),Canada,Major company,State of Mali (18%),Mali  ,Government organ,South Africa,13.9167,-11.6667,Mali,Sadiola,Au,MLI
Gold  (t),St_ de Gestion & d'Exploitation des Mines d'Or de Kalana,Active,State of Mali (100%),Mali  ,Government organ,,,,,,,Mali,,,Mali,St_,Au,MLI
Gold  (t),Syama Gold Mine,Operating: exp/constr,Resolute (80%),Australia,Company ,State of Mali (20%),Mali  ,Government organ,,,,Australia,12.0167,-6.4667,Mali,Syama,Au,MLI
Gold  (t),Tabakoto Gold Mine,Operating,Endeavour (100%),Canada,Company ,,,,,,,Canada,12.9333,-11.1,Mali,Tabakoto,Au,MLI
Gold  (t),Yatela Gold Mine,Operating,Anglogold (40%),South Africa,Major company,Iamgold (40%),Canada,Major company,State of Mali (20%),Mali  ,Government organ,South Africa,14.1,-11.7833,Mali,Yatela,Au,MLI
Coal  (Mt),Benga Coal Mine,Operating,Rio Tinto Group (65%),UK,Major company,Tata Steel (35%),India ,Major company,,,,UK,,,Mozambique,Benga,coal,MOZ
