A,Metalmineral,Status,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Companycountry,country,shortname,metal
,Copper  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.5,0.4,0.4,0.4,UK,South Africa,Dishaba,Cu
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.15,0.115,0.15,0.128,UK,South Africa,Dishaba,Au
,Nickel  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.9,0.8,0.8,0.6,UK,South Africa,Dishaba,Ni
,Palladium  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,2.09,2.23,2.26,2.13,UK,South Africa,Dishaba,PGM
,Platinum  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,4.67,4.87,5.04,4.62,UK,South Africa,Dishaba,PGM
,PGMs  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,8.31,8.65,9.05,8.47,UK,South Africa,Dishaba,PGM
,Rhodium  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.59,0.6,0.65,0.65,UK,South Africa,Dishaba,PGM
,Uranium oxide  (kt),Suspended,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.08, ---  ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Dominion,U
,Gold  (t),Closed,7.86,6.85,5.49,4.53,3.441,3.675, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Doornfontein,Au
,Silver  (t),Closed,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Doornfontein,Ag
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.656,1.116,1.712,2.144,3.091,3.187,South Africa,South Africa,Doornkop,Au
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.628,0.6,0.609,0.649,0.733,0.8,0.73,1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,France,South Africa,Dorstfontein,coal
,Gold  (t),Suspended,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.471,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Droogebult,Au
,Gold  (t),Closed,3.4,4.69,5.47,4.924,3.011,2.004,2.6,2.4,2.4,2,0.5, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Durban,Au
,Silver  (t),Closed,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Durban,Ag
,Chromite  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,100,250,600,600,640,600,800,700,850,450,600,922,  ..   ,South Africa,South Africa,Dwarsrivier,Cr
,Gold  (t),"Susp, restart/plans",4.99,6.85,8.1,7.85,7.712,8.183,8.396,7.744,6.627,5.059,  ..   ,4,4,2.936,3.197,2.7,2.289,1.846,1.231,0.063, ---  , ---  , ---  ,South Africa,South Africa,East,Au
,Silver  (t),"Susp, restart/plans",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,East,Ag
,Gold  (t),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.036,0.086,0.051,0.039, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,South Africa,Eastern,Au
,Palladium  (t),Operating,0.5,1.5,1.8,2.2,2.5,2.6,2.8,2,2, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,South Africa,Eastern,PGM
,Platinum  (t),Operating,0.8,2.3,2.9,3.8,3.9,4.1,4.4,4.85,4.5, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,South Africa,Eastern,PGM
,PGMs  (t),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,9, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,South Africa,Eastern,PGM
,Rhodium  (t),Operating,0.1,0.4,0.5,0.7,0.75,0.75,0.8,0.8,0.7, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,South Africa,Eastern,PGM
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.24,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Eastside,coal
,Gold  (t),"Susp, restart/plans",0.5,0.4,0.43,0.45,0.5,0.4,0.145,0.09, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Canada,South Africa,Eersteling,Au
,Gold  (t),Closed,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,3.304,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Eland,Au
,Chromite  (kt),Operating,60,  ..   ,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,UK,South Africa,Elandsdrift,Cr
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,4.096,4,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Elandsfontein,coal
,Palladium  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,1.3,1.14,1.14,0.71,0.65,Switzerland,South Africa,Elandsfontein,PGM
,Platinum  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,3,2.49,2.38,1.55,1.4,Switzerland,South Africa,Elandsfontein,PGM
,PGMs  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,5,3.89,4.3,2.7,2.45,Switzerland,South Africa,Elandsfontein,PGM
,Rhodium  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,0.37,0.39,0.41,0.26,0.25,Switzerland,South Africa,Elandsfontein,PGM
,Gold  (t),"Operating, exp/plans",14.16,14.89,18.68,18.428,15.87,15.448,16.474,15.828,14.974,13.653,11.008,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Elandsrand,Au
,Coal  (Mt),Closed,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.558,0.804,3.308,2.33,2.3,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Elcoal,coal
,Uranium oxide  (kt),Operating,0.1,0.01, ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Ergo,U
,Gold  (t),Operating, ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.38,0.684,0.801,0.516,0.666,1.346,2.932,4.417,South Africa,South Africa,Ergo,Au
,Gold  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  ,18.287,12.06,12.973,13.013,13.895,11.766,11.315,11.743, ---  , ---  ,8.254,6.224,5.03,2.248,2.928,2.863,South Africa,South Africa,Evander,Au
,Gold  (t),"Closed, reopen/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.122,0.13,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Evander,Au
,Gold  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.002,0.053,0.045,0.033, ---  ,0.015,0.027, ---  ,Australia,South Africa,Everest,Au
,Palladium  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.07,1.79,1.65,1.16, ---  ,0.5,0.95, ---  ,Australia,South Africa,Everest,PGM
,Platinum  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.13,3.08,3.24,2.34, ---  ,0.95,1.73, ---  ,Australia,South Africa,Everest,PGM
,PGMs  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.22,5.38,5.48,3.94, ---  ,1.97,2.98, ---  ,Australia,South Africa,Everest,PGM
,Rhodium  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.02,0.46,0.56,0.4, ---  ,0.15,0.3, ---  ,Australia,South Africa,Everest,PGM
,Coal  (Mt),"Operating, exp/constr",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  ,  ..   ,0.377,0.69,Australia,South Africa,Ferreira,coal
,Diamond carats  (Mct),Operating,4.18,3.48,3.45,2.01,2.25,1.72,2.08,2.23,2.17,1.74,1.93,2.47,2.38,2.47,2.11,2.22,2.28,2.33,2.32,1.43,1.58,1.5,  ..   ,South Africa,South Africa,Finsch,Dia
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,1.733,1.481,1.568,1.404,1.535,1.5,1.488,2.4,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,France,South Africa,Forzando,coal
,Gold  (t),Closed, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,32.439,7.803,6.989, ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Free,Au
,Gold  (t),Closed, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,16.398,22.155,21.022, ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Free,Au
,Gold  (t),Closed,114.37,112.21,113.6,116.45,104.038,92.717,83.37,74.331,60.44, ---  , ---  , ---  , ---  ,32.516, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Freegold,Au
,Silver  (t),Closed,10,10,10,10,10,10,10,8,8,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Freegold,Ag
,Uranium oxide  (kt),Closed,0.07,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Freegold,U
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,3.058,2.591,2.765,3.06,2.902,2.5, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Freegold,Au
,Gold  (t),"Susp, restart/plans",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.2,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Galaxy,Au
,Coal  (Mt),Closed,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.01,0.12,0.1,0.1,0.1, ---  ,  ..   ,  ..   ,Australia,South Africa,Geluk,coal
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,6.36,5.468,5.558,5.962,6.642,6.298,8.534,8.456,7.449,6.905,6.026,5.2,4.86,UK,South Africa,Goedehoop,coal
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  ,0.3,1.097,0.956,1.047,1.689,2.919,2.995,4.394,5.9,  ..   ,Switzerland,South Africa,Goedgevonden,coal
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.9,0.59,0.74,0.73,1,1.1,1.1,1.1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Golfview,coal
,Chromite  (kt),Suspended,40,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Goudini,Cr
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.55,0.9,1.7,1.6,2.11,2.5,2.714,2.7,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Graspan,coal
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,31.137,30.204,31.224,27.38,25.263,24.728,21.547,19.119,15.036,10.628,4.914,4.119,2.909,2.613,South Africa,South Africa,Great,Au
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,2.894,2.487,2.528,2.712,2.755,2.73,2.778,3.315,3.401,3.295,3.425,2.853,2.883,UK,South Africa,Greenside,coal
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.74,0.7,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Groenvallei,coal
,Coal  (Mt),"Operating, exp/constr",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,15.559,15.388,16.081,16.179,17.41,17.516,17.985,18.452,18.201,18.283,18.499,18.231,17.516,South Africa,South Africa,Grootegeluk,coal
,Gold  (t),Operating,2.41,2.38,2.52,2.54,2.497,2.538,2.389, ---  , ---  ,2.2,1.978,1.8,1.8,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Grootvlei,Au
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,2.534,2.5,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Halfgewonnen,coal
,Gold  (t),Closed, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,37.215,34.515, ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Harmony,Au
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,5.254,2.928,2.224,1.892,1.731,2.613,2.56,2.087,South Africa,South Africa,Harmony,Au
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.879,0.621,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Harmony/Free,Au
,Gold  (t),Closed,28.65,22.28,22.5,21.62,20.944,20.136,16,24.55,18.07,26.544,24.23,19.802,18.248,18.804,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Harmony/Free,Au
,Silver  (t),Closed,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Harmony/Free,Ag
,Uranium oxide  (kt),Closed, ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Harmony/Free,U
,Gold  (t),Suspended,30.5,28.95,29.25,31.65,28.67,25.206,24.5,21.98,16.788,16.444, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Hartebeest,Au
,Uranium oxide  (kt),Suspended,0.33,0.26,0.31,  ..   ,0.31,0.28,0.25,0.22,0.25,0.15,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Hartebeest,U
,Chromite  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,228,335,434,386,456,489,  ..   ,Switzerland,South Africa,Helena,Cr
,Chromite  (kt),Operating,80,130,100,100,130,500,140,140,140,200,200,100,100,100,200,200,400,500,400,200,400,350,  ..   ,Japan,South Africa,Hernic,Cr
,Vanadium  (kt),Operating,12,9.1,8,7.5,12,10,11.6,13.8,14.2,12,13.5,14,14,13.5,13.5,13,13,15,16,11.5,  ..   ,  ..   ,  ..   ,Russia,South Africa,Highveld,V
,Titanium  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,75,160,160,200,175,165,135,87,143,89,90,  ..   ,South Africa,South Africa,Hillendale,Ti
,Zirconium  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,18,55,51,49,47,50,34,34,36,33,28,  ..   ,South Africa,South Africa,Hillendale,Zr
,Diamond carats  (Mct),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  ,0,0.01,0.01,0.02,  ..   ,  ..   ,  ..   ,Canada,South Africa,Holpan/Klipdam,Dia
,Diamond carats  (Mct),"Closed, reclamation",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.01,0.02,0.04,  ..   ,0.03, ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Hondeklip,Dia
,Chromite  (kt),"Susp, restart/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  ,25, ---  , ---  , ---  , ---  , ---  , ---  ,131,52,74,68,38, ---  , ---  ,  ..   ,  ..   ,Switzerland,South Africa,Horizon,Cr
,Manganese ore  (Mt),Operating,3,2,1.3,1.6,1.7,2,2.34,2.2,1.94,1.9,2.2,2,2.04,2.36,2.52,2.33,2.51,2.54,3.45,1.6,3.34,3.01,3.6,Australia,South Africa,Hotazel,Mn
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,India,South Africa,Ilanga,coal
,Cobalt  (kt),"Operating, exp/constr",0.3,0.25,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,South Africa,South Africa,Impala,Co
,Copper  (kt),"Operating, exp/constr",5,5,4,5,5,5,5,5,5,5,5,5,5,6,6,7,6,6,6,5,6,5,3,South Africa,South Africa,Impala,Cu
,Gold  (t),"Operating, exp/constr",1.5,2,2,2,2,1.019,1.361,1.367,1.417,1.455,1.5,1.5,1.5,2,2,2,2,2,2,1.5,2,2,1,South Africa,South Africa,Impala,Au
,Nickel  (kt),"Operating, exp/constr",10.5,9,8.5,8.5,8,8,8,7.5,8,8.1,6.3,7.4,6.5,8,7.4,8.2,7.6,7.2,6.4,5.1,5.5,5.7,3.9,South Africa,South Africa,Impala,Ni
,Palladium  (t),"Operating, exp/constr",15,13.5,14.5,15.1,15,14.6,14,16.4,16.5,16.4,14.65,15,14,14.8,15.28,17.05,14.59,15.09,11.77,12.93,15.6,16.24,10.98,South Africa,South Africa,Impala,PGM
,Platinum  (t),"Operating, exp/constr",33.19,28.65,32.4,33.5,31.4,30,30,31.8,32.94,33.4,31.13,30.9,27.7,32.3,33.97,36.02,33.57,33.78,30.6,26.98,29.25,28.95,19.53,South Africa,South Africa,Impala,PGM
,PGMs  (t),"Operating, exp/constr",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,61.3,60.3,58,58.6,58.9,59.41,61.4,66.04,59.54,60.03,54.08,51.58,55,57.62,39.56,South Africa,South Africa,Impala,PGM
,Rhodium  (t),"Operating, exp/constr",2.2,2.5,3.2,2.8,3.2,3,3.3,3.5,3.4,5.1,4.32,3.9,3.5,4.2,3.94,4.04,3.61,2.97,4,3.7,4,3.89,2.59,South Africa,South Africa,Impala,PGM
,Coal  (Mt),"Operating, exp/constr",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,6.756,3.366,4.009,4.451,4.601,  ..   ,Switzerland,South Africa,iMpunzi,coal
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  ,0.841,1.843,1.779,1.918,1.845,South Africa,South Africa,Inyanda,coal
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  ,1.358,4.02,5.001,5.152,5.062,4.569,4.338,5.399,UK,South Africa,Isibonelo,coal
,Gold  (t),"Operating, exp/feasib",2.85,5.18,5.76,4.18,3.486,4.087,5.608,8.137,8.105,7.816,6.529,3.959,1.919, ---  , ---  , ---  , ---  ,1.871,2.145,2.034,1.456,2.311,2.995,South Africa,South Africa,Joel,Au
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  ,0.5,1.028,1.999,2.4,1.732,1.5,1.996,2.544,2.683, ---  , ---  ,2.322,2.569,1.588,1.468,1.089,1.164,South Africa,South Africa,Kalahari,Au
,Gold  (t),"Operating, exp/plans",25.56,31.93,31.37,30.62,30.046,26.817,23.598,21.972,25.41,25.963,24,20,34.651,33.754,32.886,29.887,28.501,28.482,20.623,20.321,15.665,16.728,29.079,South Africa,South Africa,KDC,Au
,Silver  (t),"Operating, exp/plans",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,KDC,Ag
,Gold  (t),"Operating, exp/plans",53.39,55.33,57.31,58.7,63.179,50.894,46.583,50.588,46.73,43.856,43.715,40.447,41.484,35.607,35.804,36.432,33.419,31.466,25.807,25.041,22.115,17.471,  ..   ,South Africa,South Africa,KDC,Au
,Silver  (t),"Operating, exp/plans",6,6,6,6,6,6,6,6,5,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,KDC,Ag
